Mun;Referen;N.Fijo ;D;Nlo;Nuc;Cvia;Descripción Vía               ;Npor;Es;Pl;Man;De;Superfic.;Om
088;7974015;3136063;R;005;001;1140;GAZTELU                       ;016 ;  ;00;   ;G ;    43,00;MI
088;7974016;3136023;N;001;001;1140;GAZTELU                       ;007 ;  ;SM;   ;B ;   255,00;MI
088;7974016;3136023;N;002;001;1140;GAZTELU                       ;007 ;  ;00;   ;V ;   125,00;MI
088;7974016;3136023;N;003;001;1140;GAZTELU                       ;007 ;  ;01;   ;V ;   130,00;MI
088;7974016;3136023;N;004;001;1140;GAZTELU                       ;007 ;  ;BH;   ;B ;   128,00;MI
088;7974017;5194760;T;001;001;1140;GAZTELU                       ;028A;  ;00;   ;K ;   830,00;MP
088;7974018;5194985;Y;001;000;1140;GAZTELU                       ;909 ;  ;00;   ;S ;  1462,00;MP
088;7974019;5194981;W;001;000;1140;GAZTELU                       ;908 ;  ;00;   ;S ;  1267,00;MP
088;7974020;5194984;A;001;000;1140;GAZTELU                       ;907 ;  ;00;   ;S ;   682,00;MP
088;7974021;5194983;P;001;000;1140;GAZTELU                       ;906 ;  ;00;   ;S ;  2535,00;MP
088;7974022;5194980;X;001;000;1140;GAZTELU                       ;905 ;  ;00;   ;S ;  1389,37;EU
088;7974023;3136067;D;001;001;1140;GAZTELU                       ;001 ;  ;00;   ;H ;   367,00;MP
088;7974023;3136067;D;002;001;1140;GAZTELU                       ;001 ;  ;01;   ;H ;   367,00;MP
088;7974023;3136067;D;003;001;1140;GAZTELU                       ;001 ;  ;BH;   ;H ;   336,00;MI
088;7974024;5194763;U;001;001;1140;GAZTELU                       ;028B;  ;00;   ;K ;  4050,00;MP
088;7974025;3136050;P;001;001;1140;GAZTELU                       ;027 ;  ;00;   ;R ;   241,00;MI
088;7974027;3136029;P;001;001;1140;GAZTELU                       ;028 ;  ;00;   ;T ;   125,00;MI
088;7974027;3136029;P;002;001;1140;GAZTELU                       ;028 ;  ;01;   ;E ;   125,00;MI
088;7974027;3136029;P;003;001;1140;GAZTELU                       ;028 ;  ;02;   ;V ;   125,00;MI
088;7974027;3136029;P;004;001;1140;GAZTELU                       ;028 ;  ;BH;   ;T ;    50,00;MI
088;7974028;5194754;E;001;000;1140;GAZTELU                       ;904 ;  ;00;   ;S ;   600,00;MP
088;7974029;3136049;R;001;001;1140;GAZTELU                       ;033 ;  ;00;   ;H ;    83,00;MI
088;7974029;3136049;R;002;001;1140;GAZTELU                       ;033 ;  ;00;   ;T ;    83,00;MI
088;7974029;3136049;R;003;001;1140;GAZTELU                       ;033 ;  ;01;   ;V ;   166,00;MI
088;7974029;3136049;R;004;001;1140;GAZTELU                       ;033 ;  ;02;   ;V ;   166,00;MI
088;7974029;3136049;R;005;001;1140;GAZTELU                       ;033 ;  ;BH;   ;V ;    83,00;MI
088;7974030;6153607;N;001;001;1140;GAZTELU                       ;029 ;  ;00;   ;K ;    78,85;EU
088;7974030;6153608;V;001;001;1140;GAZTELU                       ;029 ;  ;01;A  ;V ;    47,00;EU
088;7974030;6153609;G;001;001;1140;GAZTELU                       ;029 ;  ;01;B  ;V ;    67,17;EU
088;7974030;6153610;E;001;001;1140;GAZTELU                       ;029 ;  ;02;A  ;V ;    49,85;EU
088;7974030;6153611;M;001;001;1140;GAZTELU                       ;029 ;  ;02;B  ;V ;    68,40;EU
